"Smokers","Adults.with.Obesity","Physically.Inactive","With.Access.to.Exercise.Opportunities","Excessive.Drinking","Uninsured","Unemployed","Children.in.Poverty","Life.Expectancy","Premature.age.adjusted.mortality","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Frequent.Physical.Distress","Frequent.Mental.Distress","Adults.with.Diabetes","HIV.Prevalence.Rate","Food.Insecure","Limited.Access.to.Healthy.Foods","Insufficient.Sleep","Uninsured.adults","Median.Household.Income","Suicide.Rate..Age.Adjusted.","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Population","less.than.18.years.of.age","pp.65.and.over","mean","sd","median","days","agg","location"
19,32,32,59,16,13,5.8,27,75.7,4801,503,55,5,13,14,14,130,17,20,33,15,45129,32,64,209550,17.1,30.3,3.32867182,2.430978311,2.9,1423,4736.7,"Arizona Mohave"
21,34,29,56,14,15,7.8,26.7872517412144,74.4,1820,487.417495962931,69.0644170268921,8,16,16,15,151,21,15.6609512240402,35,18,40650,26.9148213090977,65,110445,26.7,18.1,3.025641026,1.918522803,2.6,1053,3186,"Arizona Navajo"
15,25,20,88,17,11,4.5,22,79.6,1152.22381107133,348,43,5,12,12,8,118.25199687503,14,8,31,13,53395,19,105.892965094702,87527.4298054184,20.9,19.8,5.040959128,2.861659475,4.6,4035.83366916239,24716.3667312666,"Arizona Pima"
16,33,29,66,16,11,5,18,82.2,2108.96619767025,311,46,6,13,13,13,187.975538721718,13,7,35,13,56020.2388324,17,64,164780.745685319,22.5,20.4,9.362690922,6.540532032,7.6,4951.16003834281,42886.8125889348,"Arizona Pinal"
15,27,20,67,14,14,9.3,18.4966033099275,83.6,351,221,41,5,15,14,8,132,10,13,31,17,40545,9,168,46511,26.7,18.1,9.078027103,7.89130149,7.1,6044,54867.59581,"Arizona Santa Cruz"
17,23,23,70.4627582376958,17,13,4.5,19,78.9,1440.8947942516,345,51,6,12,13,11,126,15,13,30,14,48758,21.8135075915429,63,231993,16.2,20.9561612982136,3.463981043,2.273566531,3.1,1266,4385.4,"Arizona Yavapai"
13,37,26,84,18,14,17,28,82.9,1994,305,48,5,13,12,14,154,16,10,30,18,44116,15,71,212128,25.2,18.8,7.533460771,4.869514957,6.875,4944,37245.43005,"Arizona Yuma"
20,31,38,48,14,9,3.4,24,74.1,364,552,66,9.23102448862031,14,15,19,230,19,18,36,11,43887,14,40,17769,22.9,19.6,9.325978916,4.557972365,8.6,1328,12384.9,"Arkansas Arkansas"
20,33.9869048444222,33.1852527913668,50,13,9,5.5,29,74.9,398,495.511722214422,64,8.70325173673258,14,15,15,105,19,12,33,11,41127,13,26,20046,22.9,20.4,9.028489327,4.367369991,8.2,1218,10996.7,"Arkansas Ashley"
17,29,24,77,18,10,2.9,12,79.9,2590,312,55,6,12,12,9,122,11,5,30,13,62296.1400415366,18,108,272608,26.3,13.4,8.233216783,3.912424851,7.5,286,2354.7,"Arkansas Benton"
21,38,34,65,15,8,3.1,25,76.8,1390,462.503727184195,61.5599979746059,9,14,15,14,169,17,9,31,10,45615,17,125,108558,25,13.8,8.348201439,3.97986513,7.8,139,1160.4,"Arkansas Craighead"
23,41,38,73,13,8,4.3,29,72.9,923,523.480292860962,91,9,15,15,20,260.094395527109,24,5,36,10,42606,11,248,48342,27,14.1,8.85339095,3.722402939,8.23125,3592,31801.38029,"Arkansas Crittenden"
21,35,30,55,18,8,3.3,17,76.7,1529,421.71377783276,53,8,13,14,10,144,16,6,35,10,53882,17,126,124806,23.1,12.5,10.86256039,4.181091324,10.3,414,4497.1,"Arkansas Faulkner"
